area,GDP,人均GDP,工业增加值,第三产业增加值,固定资产投资,基本建设投资,社会消费品零售总额,海关出口总额,地方财政收入
山东,10550.0,11643,3502.5,3851.0,2288.7,1070.7,3181.9,211.1,610.2
河北,6076.6,9047,1406.7,2092.6,1161.6,597.1,1968.3,45.9,302.3
天津,2022.6,22068,822.8,960.0,703.7,361.9,941.4,115.7,171.8
江苏,10636.3,14397,3536.3,3967.2,2320.0,1141.3,3215.8,384.7,643.7
上海,5408.8,40627,2196.2,2755.8,1970.2,779.3,2035.2,320.5,709.0
浙江,7670.0,16570,2356.5,3065.0,2296.6,1180.6,2877.5,294.2,566.9
福建,4682.0,13510,1047.1,1859.0,964.5,397.9,1663.3,173.7,272.9
广东,11769.7,15030,4224.6,4793.6,3022.9,1275.5,5013.6,1843.7,1201.6
广西,2455.4,5062,367.0,995.7,542.2,352.7,1025.5,15.1,186.7
